stock_code,stock_name,report_date,net_profit,net_profit_yoy,revenue,revenue_yoy,gross_margin,net_margin,roe,debt_ratio,bvps,ocf_ps,eps
000002,万科A,1991-12-31,1013.29万,False,1.02亿,False,False,9.97%,False,66.48%,2.50,False,False
000002,万科A,1992-12-31,7002.41万,591.06%,6.61亿,550.54%,11.85%,11.03%,False,75.36%,2.53,False,False
000002,万科A,1993-06-30,8181.33万,False,4.67亿,False,False,17.56%,False,False,4.70,False,False
000002,万科A,1993-12-31,1.53亿,119.08%,10.84亿,63.91%,14.00%,14.84%,26.36%,56.45%,5.06,False,0.9100
000002,万科A,1994-06-30,7580.61万,-7.34%,3.67亿,-21.54%,False,21.01%,False,56.49%,4.00,False,0.3100
000002,万科A,1994-12-31,1.73亿,13.01%,12.28亿,13.24%,23.62%,14.34%,17.18%,57.09%,4.48,False,0.7100
000002,万科A,1995-06-30,6417.85万,-15.34%,6.45亿,75.77%,False,9.80%,5.81%,58.55%,4.01,False,0.2300
000002,万科A,1995-12-31,1.47亿,-14.95%,15.04亿,22.50%,28.23%,11.10%,False,57.88%,4.10,False,False
000002,万科A,1996-06-30,5360.10万,-16.48%,5.08亿,-21.18%,False,10.55%,False,55.84%,4.29,False,False
000002,万科A,1996-12-31,1.50亿,1.50%,11.78亿,-21.68%,30.39%,13.09%,False,56.58%,4.21,False,0.4700
000002,万科A,1997-06-30,6567.69万,22.53%,8.23亿,61.95%,False,8.77%,False,56.45%,3.84,False,False
000002,万科A,1997-12-31,1.87亿,25.03%,19.48亿,65.37%,27.93%,10.37%,11.81%,49.80%,4.07,False,0.4760
000002,万科A,1998-06-30,8250.58万,25.62%,9.05亿,9.93%,26.89%,9.50%,False,48.63%,4.26,False,False
000002,万科A,1998-12-31,1.98亿,5.72%,22.46亿,15.33%,27.29%,9.40%,10.57%,47.95%,4.01,-0.28,0.4070
000002,万科A,1999-06-30,8019.56万,-2.80%,9.93亿,9.82%,27.44%,8.73%,False,50.40%,4.18,-0.53,False
000002,万科A,1999-12-31,2.29亿,15.82%,28.73亿,27.90%,25.47%,8.36%,False,52.25%,3.84,0.08,0.4200
000002,万科A,2000-06-30,1.13亿,41.52%,14.05亿,41.41%,24.83%,8.54%,False,42.76%,4.49,-0.48,False
000002,万科A,2000-12-31,2.97亿,29.46%,37.84亿,31.71%,24.94%,8.22%,10.69%,47.25%,4.61,0.14,0.4830
000002,万科A,2001-06-30,1.70亿,50.20%,24.33亿,73.19%,24.70%,7.32%,5.76%,48.79%,4.83,-1.15,0.2700
000002,万科A,2001-12-31,3.74亿,25.99%,44.55亿,17.74%,22.91%,8.57%,12.21%,51.78%,4.95,-1.91,0.5920
000002,万科A,2002-03-31,3055.60万,False,5.50亿,False,30.24%,5.56%,False,52.15%,5.00,False,False
000002,万科A,2002-06-30,1.42亿,-16.60%,15.02亿,-38.26%,28.63%,9.46%,4.45%,60.28%,5.18,-0.33,0.2250
000002,万科A,2002-09-30,1.87亿,False,23.54亿,False,26.99%,7.95%,False,59.51%,5.25,False,False
000002,万科A,2002-12-31,3.82亿,2.32%,45.74亿,2.68%,24.08%,8.70%,11.54%,58.29%,5.36,0.20,0.6060
000002,万科A,2003-03-31,4092.80万,33.94%,7.80亿,41.87%,27.19%,5.08%,False,58.33%,5.42,-0.88,False
000002,万科A,2003-06-30,2.07亿,45.48%,21.91亿,45.85%,28.05%,9.55%,5.55%,54.37%,3.10,-0.15,0.1590
000002,万科A,2003-09-30,2.73亿,45.88%,32.65亿,38.66%,27.14%,8.42%,False,56.51%,3.17,-0.93,False
000002,万科A,2003-12-31,5.42亿,41.80%,63.80亿,39.47%,27.28%,8.87%,12.98%,54.92%,3.37,-1.06,0.4030
000002,万科A,2004-03-31,1.05亿,156.39%,10.31亿,32.16%,34.63%,10.67%,False,53.42%,3.61,-0.92,False
000002,万科A,2004-06-30,3.15亿,52.19%,24.69亿,12.70%,36.67%,13.51%,5.94%,56.72%,2.48,-0.56,0.1430
000002,万科A,2004-09-30,3.85亿,41.10%,34.75亿,6.44%,35.71%,11.47%,False,63.46%,2.51,-0.53,False
000002,万科A,2004-12-31,8.78亿,61.91%,76.67亿,20.17%,30.91%,11.90%,15.39%,59.42%,2.73,0.46,0.3920
000002,万科A,2005-03-31,2.52亿,140.07%,18.86亿,82.97%,35.80%,13.20%,False,63.20%,2.84,-0.41,False
000002,万科A,2005-06-30,7.95亿,152.60%,43.34亿,75.55%,40.48%,18.76%,12.05%,63.47%,1.95,-0.28,0.2330
000002,万科A,2005-09-30,8.72亿,126.38%,55.56亿,59.90%,40.94%,16.00%,False,66.94%,1.98,-0.14,False
000002,万科A,2005-12-31,13.50亿,53.80%,105.59亿,37.71%,34.79%,13.58%,19.54%,60.98%,2.23,0.23,0.3900
000002,万科A,2006-03-31,4.10亿,62.85%,23.04亿,22.18%,38.10%,17.84%,False,57.93%,2.40,-0.44,0.1100
000002,万科A,2006-06-30,12.71亿,59.81%,66.70亿,53.88%,39.96%,19.14%,12.90%,59.56%,2.62,-0.81,0.3300
000002,万科A,2006-09-30,14.53亿,66.71%,85.09亿,53.14%,39.12%,17.12%,False,72.13%,2.51,-1.08,0.3700
000002,万科A,2006-12-31,22.98亿,70.17%,179.18亿,69.70%,36.15%,13.52%,23.51%,65.04%,3.42,-0.69,0.3900
000002,万科A,2007-03-31,6.12亿,49.27%,41.14亿,78.58%,44.57%,14.98%,False,64.23%,3.58,-0.74,0.0930
000002,万科A,2007-06-30,16.68亿,31.28%,110.97亿,66.37%,45.51%,16.23%,10.70%,71.36%,2.41,-0.45,0.1550
000002,万科A,2007-09-30,19.17亿,31.89%,141.73亿,66.58%,46.97%,14.75%,11.49%,69.00%,3.80,-0.86,0.1790
000002,万科A,2007-12-31,48.44亿,110.81%,355.27亿,98.27%,41.99%,14.97%,23.75%,66.11%,4.26,-1.52,0.4500
000002,万科A,2008-03-31,7.18亿,17.28%,64.00亿,55.57%,38.66%,11.59%,False,66.55%,4.40,-0.21,0.0650
000002,万科A,2008-06-30,20.61亿,23.56%,172.55亿,55.50%,41.05%,13.37%,6.77%,67.76%,2.73,-0.14,0.1870
000002,万科A,2008-09-30,22.77亿,18.76%,225.42亿,59.04%,40.48%,11.69%,0.0000%,69.66%,2.74,-0.18,0.2070
000002,万科A,2008-12-31,40.33亿,-16.74%,409.92亿,15.38%,39.00%,11.32%,13.24%,67.44%,2.90,-0.0030,0.3700
000002,万科A,2009-03-31,7.69亿,7.05%,81.64亿,27.56%,33.81%,10.88%,0.0000%,68.17%,2.97,0.34,0.0700
000002,万科A,2009-06-30,25.24亿,22.48%,218.09亿,26.39%,31.19%,14.22%,7.60%,66.43%,3.14,0.89,0.2300
000002,万科A,2009-09-30,29.58亿,29.92%,295.44亿,31.06%,30.21%,12.42%,0.0000%,67.29%,3.18,1.02,0.2690
000002,万科A,2009-12-31,53.30亿,32.15%,488.81亿,19.25%,29.39%,13.15%,15.37%,67.00%,3.40,0.84,0.4800
000002,万科A,2010-03-31,11.27亿,46.54%,75.05亿,-8.08%,36.72%,15.67%,False,68.06%,3.55,-0.62,0.1000
000002,万科A,2010-06-30,28.12亿,11.41%,167.66亿,-23.12%,38.93%,18.85%,7.21%,69.83%,3.62,-0.87,0.2600
000002,万科A,2010-09-30,32.72亿,10.63%,223.80亿,-24.25%,38.80%,17.09%,8.39%,73.75%,3.66,-0.11,0.2980
000002,万科A,2010-12-31,72.83亿,36.65%,507.14亿,3.75%,40.70%,17.43%,17.79%,74.69%,4.02,0.20,0.6600
000002,万科A,2011-03-31,12.05亿,6.97%,79.70亿,6.20%,48.95%,14.93%,2.68%,76.15%,4.14,-0.18,0.1100
000002,万科A,2011-06-30,29.78亿,5.88%,199.89亿,19.22%,45.01%,16.27%,6.53%,77.85%,4.20,0.35,0.2700
000002,万科A,2011-09-30,35.84亿,9.53%,293.08亿,30.96%,41.84%,14.01%,7.85%,78.97%,4.27,-0.14,0.3300
000002,万科A,2011-12-31,96.25亿,32.15%,717.83亿,41.54%,39.78%,16.16%,19.83%,77.10%,4.82,0.31,0.8800
000002,万科A,2012-03-31,13.96亿,15.83%,103.46亿,29.81%,41.79%,14.79%,2.60%,77.73%,4.94,0.12,0.1300
000002,万科A,2012-06-30,37.25亿,25.09%,307.23亿,53.70%,37.26%,14.76%,6.83%,78.86%,5.01,0.26,0.3400
000002,万科A,2012-09-30,50.80亿,41.74%,461.28亿,57.39%,37.38%,13.32%,9.28%,79.40%,5.12,-0.32,0.4600
000002,万科A,2012-12-31,125.51亿,30.40%,1031.16亿,43.65%,36.56%,15.19%,21.45%,78.32%,5.80,0.34,1.1400
000002,万科A,2013-03-31,16.14亿,15.61%,140.00亿,35.32%,37.13%,12.78%,2.49%,79.75%,5.96,-0.22,0.1500
000002,万科A,2013-06-30,45.56亿,22.31%,413.90亿,34.72%,33.59%,12.89%,6.91%,79.63%,6.05,-0.89,0.4100
000002,万科A,2013-09-30,61.60亿,21.27%,634.15亿,37.48%,32.14%,11.79%,9.31%,79.54%,6.20,-1.09,0.5600
000002,万科A,2013-12-31,151.19亿,20.46%,1354.19亿,31.33%,31.47%,13.51%,21.54%,78.00%,6.98,0.18,1.3700
000002,万科A,2014-03-31,15.29亿,-5.23%,94.97亿,-32.16%,39.92%,17.25%,1.97%,79.45%,6.68,-0.51,0.1390
000002,万科A,2014-06-30,48.09亿,5.55%,409.62亿,-1.04%,30.92%,13.41%,6.13%,78.93%,6.98,0.31,0.4400
000002,万科A,2014-09-30,64.58亿,4.84%,631.40亿,-0.43%,30.06%,12.04%,8.28%,79.58%,7.13,1.56,0.5900
000002,万科A,2014-12-31,157.45亿,4.15%,1463.88亿,8.10%,29.94%,13.18%,19.17%,77.20%,7.99,3.78,1.4300
000002,万科A,2015-03-31,6.50亿,-57.49%,88.94亿,-6.35%,34.00%,10.21%,0.73%,77.91%,8.05,-1.39,0.0590
000002,万科A,2015-06-30,48.46亿,0.77%,502.67亿,22.72%,30.45%,13.51%,5.41%,78.06%,7.90,-0.62,0.4400
000002,万科A,2015-09-30,68.54亿,6.14%,795.96亿,26.06%,29.06%,11.98%,7.69%,78.78%,8.05,-0.42,0.6200
000002,万科A,2015-12-31,181.19亿,15.08%,1955.49亿,33.58%,29.35%,13.27%,19.14%,77.70%,9.08,1.45,1.6400
000002,万科A,2016-03-31,8.33亿,28.14%,146.11亿,64.28%,31.78%,8.55%,0.83%,78.94%,9.12,-0.97,0.0750
000002,万科A,2016-06-30,53.51亿,10.42%,747.95亿,48.80%,26.31%,9.49%,5.20%,80.60%,8.83,2.34,0.4800
