stock_code,stock_name,report_date,net_profit,net_profit_yoy,revenue,revenue_yoy,gross_margin,net_margin,roe,debt_ratio,bvps,ocf_ps,eps
600276,恒瑞医药,1997-12-31,4107.07万,False,3.04亿,False,40.58%,13.55%,False,66.93%,1.52,False,False
600276,恒瑞医药,1998-12-31,4323.00万,5.26%,3.64亿,19.84%,43.48%,12.00%,False,61.28%,2.26,False,False
600276,恒瑞医药,1999-12-31,5133.25万,18.74%,4.14亿,13.78%,47.76%,12.48%,False,64.95%,1.73,0.37,False
600276,恒瑞医药,2000-06-30,2555.69万,False,2.31亿,False,51.69%,11.14%,False,57.78%,2.00,0.11,False
600276,恒瑞医药,2000-12-31,6527.14万,27.15%,4.85亿,17.10%,53.23%,13.52%,21.07%,31.81%,5.05,0.15,False
600276,恒瑞医药,2001-06-30,4284.47万,67.64%,3.00亿,29.78%,56.69%,14.41%,6.19%,31.52%,3.36,0.04,0.2020
600276,恒瑞医药,2001-12-31,8115.51万,24.33%,6.34亿,30.86%,59.73%,12.83%,11.45%,32.26%,3.50,0.05,0.3820
600276,恒瑞医药,2002-03-31,1822.33万,False,1.48亿,False,57.83%,12.34%,False,33.80%,3.50,False,False
600276,恒瑞医药,2002-06-30,4706.21万,9.84%,3.58亿,19.60%,56.15%,13.22%,6.14%,31.01%,3.09,0.05,0.1850
600276,恒瑞医药,2002-09-30,6193.70万,False,5.47亿,False,58.99%,11.44%,False,29.53%,3.14,False,False
600276,恒瑞医药,2002-12-31,7895.40万,-2.71%,7.56亿,19.20%,63.15%,10.49%,10.09%,32.76%,3.11,0.20,0.3100
600276,恒瑞医药,2003-03-31,2255.65万,23.78%,2.23亿,50.22%,66.99%,10.16%,False,35.47%,3.19,0.0054,False
600276,恒瑞医药,2003-06-30,3550.18万,-24.56%,4.96亿,38.45%,63.00%,6.43%,4.38%,39.96%,3.25,0.07,0.1390
600276,恒瑞医药,2003-09-30,6148.21万,-0.73%,7.61亿,39.12%,65.39%,7.82%,False,38.74%,3.35,0.27,False
600276,恒瑞医药,2003-12-31,9452.00万,19.72%,10.50亿,38.93%,66.85%,8.78%,10.93%,37.73%,3.48,0.54,0.3710
600276,恒瑞医药,2004-03-31,2928.80万,29.84%,2.99亿,10.03%,82.55%,12.54%,False,29.66%,3.60,0.14,False
600276,恒瑞医药,2004-06-30,5140.44万,44.79%,6.15亿,3.74%,83.10%,10.28%,5.63%,25.76%,3.58,0.39,0.2020
600276,恒瑞医药,2004-09-30,9068.87万,47.50%,8.92亿,17.20%,75.52%,10.44%,False,16.68%,3.73,0.47,False
600276,恒瑞医药,2004-12-31,1.23亿,29.73%,11.45亿,9.02%,75.00%,10.59%,12.94%,20.50%,3.86,0.82,0.4810
600276,恒瑞医药,2005-03-31,3981.40万,35.94%,2.90亿,-2.86%,86.35%,13.17%,False,21.84%,3.81,0.09,False
600276,恒瑞医药,2005-06-30,7635.50万,48.54%,5.78亿,-5.93%,83.10%,12.77%,7.47%,15.87%,3.96,0.55,0.2990
600276,恒瑞医药,2005-09-30,1.30亿,43.22%,8.77亿,-1.65%,82.98%,14.66%,False,13.79%,4.17,0.70,False
600276,恒瑞医药,2005-12-31,1.62亿,32.30%,11.79亿,2.98%,80.50%,13.57%,15.61%,13.78%,4.29,0.89,0.6360
600276,恒瑞医药,2006-03-31,5120.66万,28.61%,3.38亿,16.32%,80.94%,14.80%,False,14.58%,4.49,0.18,0.2008
600276,恒瑞医药,2006-06-30,1.07亿,40.75%,6.79亿,17.36%,80.52%,15.70%,9.36%,15.99%,4.49,0.40,0.4213
600276,恒瑞医药,2006-09-30,1.56亿,20.11%,10.49亿,19.60%,81.02%,14.73%,False,14.37%,3.60,0.63,0.4704
600276,恒瑞医药,2006-12-31,2.07亿,27.58%,14.37亿,21.82%,80.55%,14.29%,17.59%,13.69%,3.76,0.80,0.4801
600276,恒瑞医药,2007-03-31,7341.89万,43.38%,4.02亿,18.96%,84.86%,18.42%,False,18.63%,2.99,0.22,0.1703
600276,恒瑞医药,2007-06-30,1.54亿,43.07%,9.00亿,32.66%,82.60%,17.36%,11.54%,16.81%,3.15,0.47,0.2972
600276,恒瑞医药,2007-09-30,2.49亿,59.91%,13.87亿,32.23%,82.92%,18.51%,False,18.90%,3.37,0.70,0.4822
600276,恒瑞医药,2007-12-31,4.15亿,100.41%,19.81亿,36.41%,83.14%,21.36%,28.23%,18.90%,3.75,0.51,0.8018
600276,恒瑞医药,2008-03-31,7428.79万,1.18%,5.98亿,48.91%,84.33%,12.76%,False,14.24%,3.92,0.14,0.1436
600276,恒瑞医药,2008-06-30,1.92亿,24.75%,11.97亿,33.03%,81.58%,16.43%,11.10%,13.01%,3.40,0.17,0.3090
600276,恒瑞医药,2008-09-30,2.75亿,10.05%,17.87亿,28.85%,82.87%,15.86%,0.0000%,12.64%,3.56,0.25,0.4423
600276,恒瑞医药,2008-12-31,4.23亿,1.97%,23.93亿,20.80%,83.25%,18.21%,22.87%,10.20%,3.86,0.23,0.6814
600276,恒瑞医药,2009-03-31,2.13亿,186.33%,7.12亿,18.89%,83.67%,30.68%,0.0000%,10.76%,4.27,0.63,0.2856
600276,恒瑞医药,2009-06-30,3.73亿,94.55%,14.29亿,19.35%,83.98%,26.86%,17.11%,9.55%,3.73,0.63,0.5010
