stock_code,stock_name,report_date,net_profit,net_profit_yoy,revenue,revenue_yoy,gross_margin,net_margin,roe,debt_ratio,bvps,ocf_ps,eps
600036,招商银行,1999-12-31,4.82亿,False,72.64亿,False,,6.63%,17.65%,98.16%,0.72,False,0.1200
600036,招商银行,2000-12-31,8.04亿,66.84%,87.38亿,20.29%,,9.20%,28.28%,98.32%,0.88,1.78,False
600036,招商银行,2001-06-30,6.47亿,False,41.94亿,False,,15.42%,False,False,False,False,False
600036,招商银行,2001-12-31,13.75亿,71.10%,86.49亿,20.08%,,13.64%,32.52%,98.08%,1.22,4.36,0.3400
600036,招商银行,2002-03-31,3.37亿,False,20.80亿,False,,16.20%,False,95.11%,3.69,False,False
600036,招商银行,2002-06-30,8.43亿,30.26%,44.21亿,7.12%,,20.36%,8.72%,94.86%,2.82,1.23,0.1800
600036,招商银行,2002-09-30,13.35亿,False,66.66亿,False,,20.04%,False,95.06%,2.90,False,False
600036,招商银行,2002-12-31,17.34亿,26.10%,95.69亿,10.64%,,18.12%,13.07%,95.69%,2.81,5.96,0.3300
600036,招商银行,2003-03-31,5.56亿,64.98%,28.17亿,35.44%,,19.73%,False,95.74%,2.91,-1.85,False
600036,招商银行,2003-06-30,11.08亿,31.51%,60.12亿,36.00%,,18.43%,False,96.07%,3.00,-0.99,0.1900
600036,招商银行,2003-09-30,16.87亿,26.35%,93.98亿,41.00%,,17.95%,False,96.00%,3.10,-1.90,False
600036,招商银行,2003-12-31,22.30亿,28.58%,135.86亿,41.98%,,16.41%,12.79%,96.38%,3.20,4.81,0.3900
600036,招商银行,2004-03-31,8.10亿,45.75%,44.31亿,57.29%,,18.28%,False,96.37%,3.25,-4.02,False
600036,招商银行,2004-06-30,16.89亿,52.43%,94.87亿,57.81%,,17.80%,8.88%,96.39%,2.84,-1.68,0.2500
600036,招商银行,2004-09-30,25.34亿,50.16%,143.86亿,53.07%,,17.61%,False,96.42%,2.96,-0.04,False
600036,招商银行,2004-12-31,31.44亿,41.00%,199.16亿,46.59%,,15.79%,16.10%,96.54%,3.05,0.96,0.4600
600036,招商银行,2005-03-31,10.55亿,30.19%,53.08亿,19.79%,,19.87%,False,96.52%,3.20,-2.13,False
600036,招商银行,2005-06-30,21.35亿,26.40%,89.71亿,19.51%,,18.83%,9.78%,96.68%,2.17,0.41,0.2100
600036,招商银行,2005-09-30,32.20亿,27.08%,177.20亿,23.18%,,18.17%,False,96.65%,2.29,1.61,False
600036,招商银行,2005-12-31,37.87亿,20.44%,191.79亿,25.82%,,15.68%,17.51%,96.64%,2.38,2.63,0.3700
600036,招商银行,2006-03-31,14.32亿,35.76%,50.50亿,-3.57%,,25.65%,False,95.77%,2.64,-1.05,0.1200
600036,招商银行,2006-06-30,27.77亿,30.08%,109.10亿,21.88%,,25.60%,False,96.03%,2.67,2.31,0.2300
600036,招商银行,2006-09-30,43.71亿,35.75%,169.59亿,-3.75%,,26.20%,False,94.18%,3.51,False,0.3000
600036,招商银行,2006-12-31,67.94亿,79.41%,247.71亿,30.79%,,28.34%,18.49%,94.09%,3.75,4.84,0.5300
600036,招商银行,2007-03-31,24.62亿,71.93%,78.06亿,54.57%,,31.54%,False,94.18%,3.90,2.00,0.1700
600036,招商银行,2007-06-30,61.20亿,120.38%,174.88亿,60.29%,,35.00%,False,94.66%,4.03,5.30,0.4200
600036,招商银行,2007-09-30,99.70亿,128.09%,281.73亿,66.12%,,35.39%,False,94.84%,4.28,7.73,0.6800
