stock_code,stock_name,report_date,net_profit,net_profit_yoy,revenue,revenue_yoy,gross_margin,net_margin,roe,debt_ratio,bvps,ocf_ps,eps
002594,比亚迪,2008-12-31,10.21亿,False,277.27亿,False,20.54%,4.60%,9.29%,59.00%,5.50,0.87,0.5000
002594,比亚迪,2009-12-31,37.94亿,271.46%,411.14亿,48.28%,23.43%,9.92%,27.13%,52.96%,7.33,5.27,1.7700
002594,比亚迪,2010-03-31,17.04亿,False,132.47亿,False,25.49%,13.52%,False,False,False,1.25,0.7500
002594,比亚迪,2010-06-30,24.21亿,False,252.65亿,False,22.85%,10.24%,13.82%,False,False,1.39,1.0600
002594,比亚迪,2010-09-30,24.33亿,False,358.91亿,False,20.76%,7.57%,False,False,False,False,1.0692
002594,比亚迪,2010-12-31,25.23亿,-33.48%,484.48亿,17.84%,19.14%,6.02%,14.36%,60.06%,8.11,1.38,1.1100
002594,比亚迪,2011-03-31,2.67亿,-84.35%,117.10亿,-11.60%,17.02%,2.77%,False,62.55%,7.95,1.30,0.1200
002594,比亚迪,2011-06-30,2.75亿,-88.63%,225.45亿,-10.77%,15.76%,1.75%,1.43%,62.55%,8.53,1.98,0.1200
002594,比亚迪,2011-09-30,3.53亿,-85.50%,343.34亿,-4.34%,15.85%,1.49%,1.83%,63.36%,8.55,1.78,0.1531
002594,比亚迪,2011-12-31,13.85亿,-45.13%,488.82亿,0.78%,17.18%,3.27%,6.98%,63.46%,8.97,2.54,0.6000
002594,比亚迪,2012-03-31,2704.00万,-89.86%,117.34亿,0.20%,17.40%,0.46%,0.13%,63.73%,8.99,1.34,0.0100
002594,比亚迪,2012-06-30,1626.90万,-94.09%,225.82亿,0.17%,15.66%,0.46%,0.08%,64.12%,8.97,1.88,0.0100
002594,比亚迪,2012-09-30,2088.10万,-94.08%,331.09亿,-3.57%,14.70%,0.42%,0.10%,64.37%,8.99,1.29,0.0089
002594,比亚迪,2012-12-31,8137.70万,-94.12%,468.54亿,-4.05%,14.30%,0.45%,0.38%,64.86%,9.00,2.36,0.0300
002594,比亚迪,2013-03-31,1.12亿,315.63%,128.84亿,9.80%,15.94%,1.21%,0.53%,64.91%,9.06,0.31,0.0500
002594,比亚迪,2013-06-30,4.27亿,2524.24%,260.41亿,15.32%,15.90%,2.06%,2.00%,65.79%,9.17,0.98,0.1800
