report_date,net_profit,net_profit_yoy,revenue,revenue_yoy,gross_margin,net_margin,roe,debt_ratio,bvps,ocf_ps,eps
1998-12-31,,1.47亿,,6.28亿,87.79%,23.38%,54.27%,68.44%,False,False,False
1999-12-31,,2.16亿,,8.91亿,85.50%,24.21%,69.76%,68.81%,1.54,False,1.1700
2000-12-31,,2.50亿,,11.14亿,82.33%,23.05%,68.44%,64.90%,2.39,2.39,False
2001-06-30,,2.23亿,,8.74亿,83.24%,26.33%,40.16%,52.90%,3.04,-0.47,1.2100
2001-12-31,,3.28亿,,16.18亿,82.23%,21.16%,26.79%,26.73%,10.12,0.17,1.5900
2002-03-31,,2.06亿,,7.18亿,83.91%,29.78%,False,20.24%,10.89,False,False
2002-06-30,,2.38亿,,9.56亿,83.43%,25.78%,8.99%,18.62%,11.08,-0.72,0.9500
2002-09-30,,3.09亿,,13.64亿,83.08%,23.47%,False,22.69%,10.33,False,False
2002-12-31,,3.76亿,,18.35亿,81.44%,21.40%,13.86%,26.85%,10.37,1.58,1.3700
2003-03-31,,2.18亿,,7.34亿,81.46%,30.68%,False,20.58%,11.17,0.03,False
2003-06-30,,2.53亿,,10.09亿,80.48%,26.01%,False,20.70%,11.29,-0.12,False
2003-09-30,,3.54亿,,15.53亿,80.50%,23.82%,False,27.65%,10.60,1.45,False
2003-12-31,,5.87亿,,24.01亿,80.12%,25.35%,18.65%,29.98%,11.37,3.11,1.9400
2004-03-31,,2.62亿,,8.53亿,82.28%,31.79%,False,23.22%,12.24,-0.66,False
2004-06-30,,3.49亿,,13.14亿,82.50%,27.70%,9.66%,24.28%,9.63,-0.14,1.1500
2004-09-30,,5.16亿,,20.70亿,82.23%,25.99%,False,30.70%,9.83,0.95,False
2004-12-31,,8.21亿,,30.10亿,82.22%,28.38%,21.53%,33.84%,10.60,2.48,2.0900
2005-03-31,,3.69亿,,11.44亿,82.80%,33.56%,False,29.99%,11.54,0.62,False
2005-06-30,,4.81亿,,16.86亿,82.56%,29.81%,10.90%,30.27%,11.82,1.11,1.2200
2005-09-30,,7.02亿,,25.80亿,82.54%,28.47%,False,32.67%,9.99,1.87,False
2005-12-31,,11.19亿,,39.31亿,82.52%,29.74%,23.99%,35.93%,10.79,3.59,2.3700
2006-03-31,,4.32亿,,13.53亿,83.37%,33.36%,False,31.03%,11.74,0.48,0.9200
2006-06-30,,5.74亿,,20.13亿,83.37%,29.95%,11.27%,35.15%,5.30,0.63,0.6100
2006-09-30,,10.09亿,,32.52亿,83.55%,32.49%,False,38.51%,5.66,1.58,1.0700
2006-12-31,,15.45亿,,49.03亿,83.96%,32.96%,27.67%,35.56%,6.25,2.23,1.6400
2007-03-31,,5.36亿,,15.88亿,85.03%,35.37%,False,40.42%,6.17,0.40,0.5700
2007-06-30,,8.50亿,,26.29亿,85.20%,34.00%,14.88%,39.19%,6.50,0.73,0.9000
2007-09-30,,15.90亿,,44.58亿,85.14%,37.44%,False,31.80%,7.28,1.64,1.6900
2007-12-31,,28.31亿,,72.37亿,87.96%,40.98%,39.30%,20.16%,8.72,1.85,3.0000
2008-03-31,,8.73亿,,19.93亿,89.93%,46.00%,False,19.65%,9.65,1.05,0.9300
2008-06-30,,22.40亿,,46.20亿,90.43%,50.91%,23.94%,12.61%,10.26,1.58,2.3700
2008-09-30,,31.45亿,,64.87亿,90.52%,50.94%,0.0000%,16.80%,11.22,3.25,3.3300
2008-12-31,,37.99亿,,82.42亿,90.30%,48.54%,39.01%,26.98%,11.91,5.56,4.0300
2009-03-31,,12.17亿,,25.13亿,89.99%,50.90%,0.0000%,19.31%,13.20,-0.14,1.2900
2009-06-30,,27.90亿,,55.46亿,90.41%,52.81%,22.08%,17.57%,13.71,0.58,2.9600
2009-09-30,,37.87亿,,78.07亿,90.48%,50.98%,0.0000%,15.07%,14.77,2.20,4.0100
2009-12-31,,43.12亿,,96.70亿,90.17%,47.08%,33.55%,25.89%,15.33,4.48,4.5700
2010-03-31,,12.66亿,,30.40亿,90.28%,44.22%,8.38%,21.70%,16.67,0.87,1.3400
2010-06-30,,31.00亿,,65.87亿,91.36%,49.71%,19.58%,21.55%,17.43,1.87,3.2800
2010-09-30,,41.74亿,,93.28亿,91.20%,47.29%,26.00%,22.31%,18.57,4.20,4.0200
2010-12-31,,50.51亿,,116.33亿,90.95%,45.90%,30.91%,27.51%,19.49,6.57,4.8700
2011-03-31,,18.84亿,,42.21亿,90.71%,47.18%,9.74%,29.56%,21.49,3.61,1.8100
2011-06-30,,49.07亿,,98.26亿,91.40%,52.58%,23.53%,30.32%,22.39,5.65,4.7300
2011-09-30,,65.69亿,,136.42亿,91.53%,50.80%,31.34%,29.82%,21.96,8.69,6.3300
2011-12-31,,87.63亿,,184.02亿,91.57%,50.27%,40.39%,27.21%,24.07,9.78,8.4400
2012-03-31,,29.69亿,,60.16亿,91.99%,52.02%,11.21%,21.64%,26.93,1.29,2.8600
2012-06-30,,69.96亿,,132.64亿,92.01%,55.40%,24.56%,28.47%,26.81,4.30,6.7400
2012-09-30,,104.20亿,,199.31亿,91.83%,54.88%,36.16%,17.62%,30.11,7.28,10.0400
2012-12-31,,133.08亿,,264.55亿,92.27%,52.95%,45.00%,21.21%,32.89,11.48,12.8200
2013-03-31,,35.93亿,,71.66亿,93.29%,52.66%,10.00%,15.92%,36.35,0.76,3.4600
2013-06-30,,72.48亿,,141.37亿,93.40%,53.94%,19.19%,17.98%,33.46,5.02,6.3500
2013-09-30,,110.70亿,,220.02亿,93.43%,53.17%,29.55%,19.19%,37.13,8.91,9.6900
